"filename", "language", "C++", "Markdown", "CMake", "CMake Cache", "XML", "C", "YAML", "comment", "blank", "total"
"c:\Users\pavlo\Desktop\Новая папка (7)\CMakeLists.txt", "CMake", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\pavlo\Desktop\Новая папка (7)\README.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 11, 84
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 239, 0, 0, 0, 0, 51, 290
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\4.0.2\CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\4.0.2\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 708, 0, 0, 0, 0, 0, 0, 62, 151, 921
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\4.0.2\CompilerIdCXX\CompilerIdCXX.vcxproj", "XML", 0, 0, 0, 0, 60, 0, 0, 0, 13, 73
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\4.0.2\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 690, 0, 61, 155, 906
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\4.0.2\CompilerIdC\CompilerIdC.vcxproj", "XML", 0, 0, 0, 0, 60, 0, 0, 0, 13, 73
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\4.0.2\VCTargetsPath.vcxproj", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\pavlo\Desktop\Новая папка (7)\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 472, 0, 100, 572
"c:\Users\pavlo\Desktop\Новая папка (7)\include\engine\renderer.h", "C++", 16, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\pavlo\Desktop\Новая папка (7)\include\engine\vulkan_context.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\pavlo\Desktop\Новая папка (7)\include\game\game.h", "C++", 12, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\pavlo\Desktop\Новая папка (7)\include\utils\logger.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\pavlo\Desktop\Новая папка (7)\src\engine\renderer.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\pavlo\Desktop\Новая папка (7)\src\engine\renderer.h", "C++", 16, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\pavlo\Desktop\Новая папка (7)\src\engine\vulkan_context.cpp", "C++", 35, 0, 0, 0, 0, 0, 0, 17, 17, 69
"c:\Users\pavlo\Desktop\Новая папка (7)\src\engine\vulkan_context.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\pavlo\Desktop\Новая папка (7)\src\game\game.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 5, 5, 21
"c:\Users\pavlo\Desktop\Новая папка (7)\src\game\game.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\pavlo\Desktop\Новая папка (7)\src\main.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\pavlo\Desktop\Новая папка (7)\src\utils\logger.cpp", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\pavlo\Desktop\Новая папка (7)\src\utils\logger.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"Total", "-", 966, 73, 29, 239, 151, 690, 472, 153, 592, 3365
